country_code_2,country_code_3,name
AC,ASC,Ascension Island
AN,ANT,Netherlands Antilles
BQ,ATB,British Antarctic Territory
BU,BUR,Burma
CP,CPT,Clipperton Island
CS,CSK,Czechoslovakia
CT,CTE,Canton and Enderbury Islands
DD,DDR,East Germany
DG,DGA,Diego Garcia
DY,DHY,Dahomey
FQ,ATF,French Southern and Antarctic Territories
HV,HVO,Upper Volta
JT,JTN,Johnston Island
MI,MID,Midway Islands
NH,NHB,New Hebrides
NQ,ATN,Dronning Maud Land
PC,PCI,Pacific Islands (Trust Territory)
PZ,PCZ,Panama Canal Zone
RH,RHO,Southern Rhodesia
SU,SUN,USSR
TA,TAA,Tristan da Cunha
VD,VDR,North Vietnam
WK,WAK,Wake Island
YD,YMD,South Yemen
YU,YUG,Yugoslavia
ZR,ZAR,Zaire
