num,denom,value,one_up
1,100,0.01,FALSE
2,100,0.02,FALSE
3,100,0.03,FALSE
4,100,0.04,FALSE
5,100,0.05,FALSE
6,100,0.060000000000000005,FALSE
7,100,0.06999999999999999,FALSE
8,100,0.08,FALSE
9,100,0.09,FALSE
10,100,0.09999999999999999,FALSE
11,100,0.11,FALSE
12,100,0.12,FALSE
13,100,0.13,FALSE
14,100,0.14,FALSE
15,100,0.15000000000000002,FALSE
16,100,0.16,FALSE
17,100,0.17,FALSE
18,100,0.18000000000000002,FALSE
19,100,0.19,FALSE
20,100,0.2,FALSE
21,100,0.21000000000000002,FALSE
22,100,0.22,FALSE
23,100,0.23,FALSE
24,100,0.24000000000000002,FALSE
25,100,0.25,FALSE
26,100,0.26,FALSE
27,100,0.27,FALSE
28,100,0.28,FALSE
29,100,0.29000000000000004,FALSE
30,100,0.3,FALSE
31,100,0.31,FALSE
32,100,0.32,FALSE
33,100,0.33,FALSE
34,100,0.34,FALSE
35,100,0.35000000000000003,FALSE
36,100,0.36000000000000004,FALSE
37,100,0.37,FALSE
38,100,0.38,FALSE
39,100,0.39,FALSE
40,100,0.4,FALSE
41,100,0.41000000000000003,FALSE
42,100,0.42000000000000004,FALSE
43,100,0.43,FALSE
44,100,0.44,FALSE
45,100,0.45,FALSE
46,100,0.46,FALSE
47,100,0.47000000000000003,FALSE
48,100,0.48000000000000004,FALSE
49,100,0.49,FALSE
50,100,0.5,FALSE
51,100,0.51,FALSE
52,100,0.52,FALSE
53,100,0.53,FALSE
54,100,0.54,FALSE
55,100,0.55,FALSE
56,100,0.56,FALSE
57,100,0.5700000000000001,FALSE
58,100,0.5800000000000001,FALSE
59,100,0.59,FALSE
60,100,0.6,FALSE
61,100,0.61,FALSE
62,100,0.62,FALSE
63,100,0.63,FALSE
64,100,0.64,FALSE
65,100,0.65,FALSE
66,100,0.66,FALSE
67,100,0.67,FALSE
68,100,0.68,FALSE
69,100,0.6900000000000001,FALSE
70,100,0.7000000000000001,FALSE
71,100,0.7100000000000001,FALSE
72,100,0.72,FALSE
73,100,0.73,FALSE
74,100,0.74,FALSE
75,100,0.75,FALSE
76,100,0.76,FALSE
77,100,0.77,FALSE
78,100,0.78,FALSE
79,100,0.79,FALSE
80,100,0.8,FALSE
81,100,0.81,FALSE
82,100,0.8200000000000001,FALSE
83,100,0.8300000000000001,FALSE
84,100,0.8400000000000001,FALSE
85,100,0.85,FALSE
86,100,0.86,FALSE
87,100,0.87,FALSE
88,100,0.88,FALSE
89,100,0.89,FALSE
90,100,0.9,FALSE
91,100,0.91,FALSE
92,100,0.92,FALSE
93,100,0.93,FALSE
94,100,0.9400000000000001,FALSE
95,100,0.9500000000000001,FALSE
96,100,0.9600000000000001,FALSE
97,100,0.97,FALSE
98,100,0.98,FALSE
99,100,0.99,FALSE
