name,tag,min_value,max_value
Archivo Narrow,wght,400.0,700.0
Changa,wght,200.0,800.0
Comfortaa,wght,300.0,700.0
Crimson Pro,wght,200.0,900.0
Dancing Script,wght,400.0,700.0
Dosis,wght,200.0,800.0
EB Garamond,wght,400.0,800.0
El Messiri,wght,400.0,700.0
Encode Sans,wdth,75.0,125.0
Encode Sans,wght,100.0,900.0
Exo 2,wght,100.0,900.0
Exo,wght,100.0,900.0
Faustina,wght,400.0,700.0
Fira Code,wght,300.0,700.0
Grenze Gotisch,wght,100.0,900.0
Heebo,wght,100.0,900.0
Hepta Slab,wght,1.0,900.0
Inconsolata,wdth,50.0,200.0
Inconsolata,wght,200.0,900.0
Inter,slnt,-10.0,0.0
Inter,wght,100.0,900.0
Josefin Sans,wght,100.0,700.0
Jost,wght,100.0,900.0
Jura,wght,300.0,700.0
Karla,wght,200.0,800.0
Kreon,wght,300.0,700.0
League Gothic,slnt,-12.0,0.0
League Gothic,wdth,75.0,112.5
Lemonada,wght,300.0,700.0
Literata,wght,400.0,700.0
Lora,wght,400.0,700.0
Manrope,wght,200.0,800.0
Manuale,wght,400.0,700.0
Markazi Text,wght,400.0,700.0
Maven Pro,wght,400.0,900.0
Mohave,wght,300.0,700.0
Muli,wght,200.0,900.0
MuseoModerno,wght,100.0,900.0
Orbitron,wght,400.0,900.0
Oswald,wght,200.0,700.0
Playfair Display,wght,400.0,900.0
Podkova,wght,400.0,800.0
Public Sans,wght,100.0,900.0
Quicksand,wght,300.0,700.0
Recursive,CASL,0.0,1.0
Recursive,MONO,0.0,1.0
Recursive,CRSV,0.0,1.0
Recursive,slnt,-15.0,0
Recursive,wght,300.0,1000.0
Roboto,wdth,75.0,100.0
Roboto,wght,100.0,900.0
Rokkitt,wght,100.0,900.0
Rosario,wght,300.0,700.0
Ruda,wght,400.0,900.0
Spartan,wght,100.0,900.0
Vollkorn,wght,400.0,900.0
Work Sans,wght,100.0,900.0
Yanone Kaffeesatz,wght,200.0,700.0
